rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
128,482915,32,0.802436113357544,18.386106491088867,0.10813495516777039,0.12602074509081634,a3a21707127b,illumination_guided_unet_grid_seed_0_screening_part_02,0,illumination_guided_unet,"[16, 32, 64, 128]",batch,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
129,1925955,81,0.8015872240066528,18.7421875,0.10467086732387543,0.12341925361450168,2a65b6d78aa3,illumination_guided_unet_grid_seed_0_screening_part_07,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
130,482211,75,0.8012226223945618,18.598060607910156,0.1057475209236145,0.12435350102790887,862cfb44d7e6,illumination_guided_unet_grid_seed_0_screening_part_01,0,illumination_guided_unet,"[16, 32, 64, 128]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
131,1925955,74,0.8011847138404846,18.586467742919922,0.10758262872695923,0.1258291633448739,b3cd3f5122f3,illumination_guided_unet_grid_seed_0_screening_part_06,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
132,7760451,68,0.7998036742210388,19.177112579345703,0.09955816715955734,0.11968580795371014,fc4d1a0ed30b,illumination_guided_unet_grid_seed_0_screening_part_14,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
133,482211,100,0.7987146973609924,18.597091674804688,0.10533047467470169,0.12452144413322642,4905eddd3a87,illumination_guided_unet_grid_seed_0_screening_part_01,0,illumination_guided_unet,"[16, 32, 64, 128]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
134,482211,92,0.7982383370399475,18.621395111083984,0.10319320112466812,0.1229068924119507,a06cf80ae10b,illumination_guided_unet_grid_seed_0_screening_part_01,0,illumination_guided_unet,"[16, 32, 64, 128]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
135,482211,63,0.7977876663208008,18.524890899658203,0.10590941458940506,0.1251700079959372,7559f419a404,illumination_guided_unet_grid_seed_0_screening_part_01,0,illumination_guided_unet,"[16, 32, 64, 128]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
136,482211,65,0.7973796725273132,18.57276153564453,0.10781154781579971,0.12677330707294354,5543e0eec00e,illumination_guided_unet_grid_seed_0_screening_part_01,0,illumination_guided_unet,"[16, 32, 64, 128]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
137,7760451,45,0.794582188129425,19.055240631103516,0.09709810465574265,0.11876206369935602,6536322e8fa2,illumination_guided_unet_grid_seed_0_screening_part_15,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
138,482211,84,0.792594850063324,18.448585510253906,0.10690202564001083,0.1270026674737101,c3d1f1f030b8,illumination_guided_unet_grid_seed_0_screening_part_01,0,illumination_guided_unet,"[16, 32, 64, 128]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
139,1925955,42,0.7883434295654297,18.056838989257812,0.11459080129861832,0.13400395236153534,8d9e3fa2124e,illumination_guided_unet_grid_seed_0_screening_part_07,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
140,1925955,48,0.7559522986412048,17.399076461791992,0.1258327215909958,0.14947573430296304,582faee6c552,illumination_guided_unet_grid_seed_0_screening_part_06,0,illumination_guided_unet,"[32, 64, 128, 256]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
141,7760451,31,0.7429165840148926,17.410907745361328,0.12812404334545135,0.15391591882360153,00ae42f0f719,illumination_guided_unet_grid_seed_0_screening_part_14,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
142,7760451,29,0.7413361668586731,17.1818790435791,0.12910443544387817,0.1550163043581921,bddf02748470,illumination_guided_unet_grid_seed_0_screening_part_15,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
143,7760451,22,0.7367702126502991,17.20155906677246,0.1306360810995102,0.15715481708015222,ab749cca1745,illumination_guided_unet_grid_seed_0_screening_part_15,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""max_rgb"", ""illumination_smoothing_kernel_size"": 9, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
144,7760451,25,0.7340424656867981,17.248882293701172,0.1284932941198349,0.15598614924195883,4312c718e494,illumination_guided_unet_grid_seed_0_screening_part_14,0,illumination_guided_unet,"[32, 64, 128, 256, 512]",none,leaky_relu,8,transposed,"{""model"": {""illumination_method"": ""luminance"", ""illumination_smoothing_kernel_size"": 0, ""illumination_smoothing_sigma"": 1.5}}",0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
