rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
11,1948355,85,0.8594500422477722,21.41734504699707,0.07815218716859818,0.09063174024872157,32a449ea4348,unet_grid_seed_0_screening_part_17,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,bilinear,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
12,7849667,93,0.8594242334365845,21.40877914428711,0.07936626672744751,0.09160817997611087,cdcb5da31d0b,unet_grid_seed_0_screening_part_18,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
13,1927075,83,0.8592913746833801,21.365081787109375,0.07892072200775146,0.09127830595209979,0d60374e775a,unet_grid_seed_0_screening_part_20,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
14,482771,166,0.8590971827507019,22.028858184814453,0.07171197980642319,0.08555014690627223,13a1128982d0,unet_grid_seed_0_screening_part_19,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,transposed,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
15,1927075,61,0.858913004398346,21.49891471862793,0.07818587124347687,0.09076609376116075,366045bb0791,unet_grid_seed_0_screening_part_19,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
16,7763107,59,0.8587039709091187,21.573476791381836,0.07798641175031662,0.09064834327369496,9d65f91fedb6,unet_grid_seed_0_screening_part_19,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
17,1948355,88,0.8585078120231628,21.48345184326172,0.07862123847007751,0.09119542806908704,be62a3bdb8f5,unet_grid_seed_0_screening_part_18,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,bilinear,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
18,7763107,66,0.8582620024681091,21.474353790283203,0.07875055819749832,0.09134803269652353,fd989e5bfdf8,unet_grid_seed_0_screening_part_20,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
19,7849667,63,0.8578880429267883,21.3825740814209,0.07950062304735184,0.09202288220758023,e256992a51d7,unet_grid_seed_0_screening_part_16,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
20,7849667,63,0.8561025857925415,21.4046573638916,0.07977097481489182,0.09259625103162683,b9e64865b556,unet_grid_seed_0_screening_part_16,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
21,7849667,63,0.855535626411438,21.380046844482422,0.07891680300235748,0.09202631606139998,9cf1d98ff403,unet_grid_seed_0_screening_part_18,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,bilinear,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
22,1927075,61,0.8548839688301086,21.473493576049805,0.07806175947189331,0.09147263426279677,b96ba56e366a,unet_grid_seed_0_screening_part_21,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
23,1927075,73,0.8547649383544922,21.585153579711914,0.07710079103708267,0.09072763084069542,5d03f27fd349,unet_grid_seed_0_screening_part_21,0,unet,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
24,482771,114,0.8545867204666138,21.860824584960938,0.07289522141218185,0.08739883377068285,f5fad98a2fb4,unet_grid_seed_0_screening_part_19,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,transposed,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
25,1948355,122,0.8542419672012329,21.444799423217773,0.07632353156805038,0.09021043010811874,278a74dfba88,unet_grid_seed_0_screening_part_10,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,bilinear,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
