rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,family_specific_config,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
21,1957127,123,0.8685791492462158,22.021347045898438,0.07485363632440567,0.09548705600310063,68672f4b0517,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 32, ""residual_scale"": 0.1, ""sensitivity_train"": {""exposure_min"": 0.9, ""exposure_max"": 1.1, ""gamma_min"": 0.9, ""gamma_max"": 1.1, ""color_temperature_delta"": 0.03, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.01}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.05}}",0.0002,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
22,2042471,100,0.868457555770874,21.81662940979004,0.07588564604520798,0.09611141487308171,173d026b6bab,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 64, ""residual_scale"": 0.2, ""sensitivity_train"": {""exposure_min"": 0.9, ""exposure_max"": 1.1, ""gamma_min"": 0.9, ""gamma_max"": 1.1, ""color_temperature_delta"": 0.03, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.01}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.0}}",0.0003,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
23,1957127,92,0.8683596253395081,21.94565200805664,0.07496330142021179,0.10404703701319902,5b71459753e6,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 32, ""residual_scale"": 0.2, ""sensitivity_train"": {""exposure_min"": 0.9, ""exposure_max"": 1.1, ""gamma_min"": 0.9, ""gamma_max"": 1.1, ""color_temperature_delta"": 0.03, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.01}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.2, ""consistency_weight"": 0.0}}",0.0003,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
24,1957127,104,0.868227481842041,21.811159133911133,0.07651663571596146,0.09649405174929163,71e56c27780f,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 32, ""residual_scale"": 0.1, ""sensitivity_train"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.0}}",0.0002,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
25,2042471,99,0.8679087162017822,21.88762092590332,0.0760626494884491,0.09648377340340959,6b7692bef6ef,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 64, ""residual_scale"": 0.2, ""sensitivity_train"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.0}}",0.0002,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
26,1957127,144,0.86772221326828,22.00252342224121,0.07552511990070343,0.09583247722922891,51f7451d1b7b,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 32, ""residual_scale"": 0.1, ""sensitivity_train"": {""exposure_min"": 0.9, ""exposure_max"": 1.1, ""gamma_min"": 0.9, ""gamma_max"": 1.1, ""color_temperature_delta"": 0.03, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.01}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.0}}",0.0002,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
27,1957127,91,0.8676982522010803,21.691104888916016,0.07651064544916153,0.0967936051496561,d8d2f88b11c2,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 32, ""residual_scale"": 0.2, ""sensitivity_train"": {""exposure_min"": 0.9, ""exposure_max"": 1.1, ""gamma_min"": 0.9, ""gamma_max"": 1.1, ""color_temperature_delta"": 0.03, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.01}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.0}}",0.0002,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
28,1957127,103,0.867572009563446,21.809053421020508,0.07610398530960083,0.10572227479323097,ea173d1df835,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 32, ""residual_scale"": 0.2, ""sensitivity_train"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.2, ""consistency_weight"": 0.05}}",0.0003,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
29,2042471,92,0.8674598336219788,21.882665634155273,0.07604291290044785,0.09665273432282434,04d76f0027fd,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 64, ""residual_scale"": 0.1, ""sensitivity_train"": {""exposure_min"": 0.9, ""exposure_max"": 1.1, ""gamma_min"": 0.9, ""gamma_max"": 1.1, ""color_temperature_delta"": 0.03, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.01}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.1, ""consistency_weight"": 0.02}}",0.0002,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
30,2042471,84,0.8674595952033997,21.750843048095703,0.07684049755334854,0.10629847850920497,2ab454d7cc39,ecl_far_grid_seed_0_screening,0,ecl_far,"[32, 64, 128, 256]",group,leaky_relu,8,transposed,"{""model"": {""refinement_channels"": 64, ""residual_scale"": 0.2, ""sensitivity_train"": {""exposure_min"": 0.85, ""exposure_max"": 1.15, ""gamma_min"": 0.85, ""gamma_max"": 1.15, ""color_temperature_delta"": 0.05, ""noise_sigma_min"": 0.0, ""noise_sigma_max"": 0.015}, ""sensitivity_eval"": {""exposure_factor"": 1.08, ""gamma"": 0.92, ""color_temperature_delta"": 0.02}}, ""loss"": {""initial_weight"": 0.2, ""consistency_weight"": 0.05}}",0.0003,0.0001,ecl_far,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
